date,MSFT,AAPL,CSCO,ORCL,GOOGL
2005-05-09,-0.004362,-0.00725,0.010544,-0.00085,-0.008771
2005-05-10,-0.008363,-0.014877,0.0,-0.019574,0.007875
2005-05-11,0.000402,-0.022241,0.018671,0.015625,0.01532
2005-05-12,0.003613,-0.041561,0.008086,0.016239,-0.011112
2005-05-13,0.012,0.018752,0.01016,0.039529,0.002274
2005-05-16,0.010672,0.022433,0.010588,-0.000809,0.007896
2005-05-17,-0.001177,-0.005345,-0.001572,-0.011336,0.009002
2005-05-18,0.009427,0.013575,0.009444,0.009828,0.025865
2005-05-19,0.00856,0.047712,0.007276,0.00811,8.4e-05
2005-05-20,-0.006944,0.0,0.004644,0.009654,0.01016
2005-05-23,0.004274,0.058855,0.004109,0.011952,0.057282
2005-05-24,-0.003868,-0.001509,0.023018,0.007874,0.002153
2005-05-25,-0.001553,0.002015,-0.019,-0.003906,0.018789
2005-05-26,0.00739,0.024133,0.014271,0.013333,-0.006173
2005-05-27,0.006564,-0.004418,-0.005528,-0.005418,0.026235
2005-05-31,-0.010357,-0.019741,-0.019707,-0.003891,0.042368
2005-06-01,0.00155,0.013599,0.011856,0.007031,0.035922
2005-06-02,-0.001935,-0.006452,0.012736,0.006982,0.002333
2005-06-03,-0.013959,-0.044955,-0.024145,-0.030046,-0.026537
2005-06-06,-0.002359,-0.008368,-0.001031,0.004766,0.038107
2005-06-07,0.005518,-0.036392,0.001548,-0.004743,0.007493
2005-06-08,-0.004312,0.0104,0.0,0.006354,-0.046261
2005-06-09,0.004331,0.019773,0.003091,0.0,0.024145
2005-06-10,-0.003136,-0.048871,-0.011813,-0.002368,-0.013307
2005-06-13,-0.004719,0.002513,0.003118,-0.003165,0.000885
2005-06-14,0.001976,0.002785,-0.006218,-0.009524,-0.015561
2005-06-15,-0.003943,0.031389,0.007299,0.011218,-0.012754
2005-06-16,-0.008709,0.022893,0.01087,-0.012678,0.009607
2005-06-17,0.0,0.008689,0.0,-0.009631,0.010309
2005-06-20,0.002796,-0.018272,0.003584,0.005673,0.022833
2005-06-21,0.001593,0.006647,0.008673,0.011281,0.003976
2005-06-22,-0.003181,0.018225,0.001517,0.006375,0.005072
2005-06-23,0.009573,0.00882,-0.00101,-0.009501,0.001417
2005-06-24,-0.010668,-0.029056,-0.024267,-0.000799,0.026026
2005-06-27,0.000399,-0.017479,-0.01399,0.0032,0.023045
2005-06-28,0.000798,0.00566,0.006831,0.023126,-0.006906
2005-06-29,0.000798,-0.025194,0.010439,0.057677,-0.030729
2005-06-30,-0.009964,0.012098,-0.014463,-0.027266,0.004885
2005-07-01,-0.005234,-0.008422,-0.004717,0.006818,-0.009859
2005-07-05,0.010927,0.040548,-0.008952,-0.001505,0.015313
2005-07-06,-0.011209,-0.015535,0.0,0.003768,-0.014152
2005-07-07,-0.002024,0.006419,0.001063,-0.002252,0.013773
2005-07-08,0.01785,0.016476,0.024947,0.020316,0.002335
2005-07-11,0.007971,-0.003922,0.011911,0.011062,-0.009722
2005-07-12,0.012653,0.003675,0.012283,0.006565,-0.005338
2005-07-13,0.001952,0.002876,0.009606,0.011594,0.024251
2005-07-14,0.012081,0.062582,-0.001502,0.006447,0.006793
2005-07-15,-0.006931,0.019632,-0.002508,-0.000712,0.000997
2005-07-18,-0.009306,-0.001444,-0.012066,-0.009972,-0.005478
2005-07-19,0.023875,0.040974,0.026463,0.002878,0.034586
2005-07-20,0.001147,0.010188,-0.002479,0.006456,0.006776
2005-07-21,0.009546,-0.007793,-0.027833,-0.022096,0.006218
2005-07-22,-0.028744,0.016401,-0.01227,0.005831,-0.036759
2005-07-25,0.000389,-0.004318,-0.024327,-0.000725,-0.02166
2005-07-26,-0.005839,-0.004109,0.011141,0.0,0.000811
2005-07-27,0.007048,0.008251,0.006296,0.003626,0.002837
2005-07-28,0.001166,-0.004319,0.006256,0.000723,-0.011552
2005-07-29,-0.005437,-0.026256,-0.007772,-0.020217,-0.019557
2005-08-01,0.012105,0.002345,0.005744,-0.003685,0.013379
2005-08-02,0.034336,0.010292,0.011942,0.004438,0.025994
2005-08-03,0.016412,0.000695,0.002565,-0.014728,-0.006317
2005-08-04,0.002569,-0.0118,-0.00563,-0.005979,0.001446
2005-08-05,0.016105,0.006556,-0.006691,-0.001504,-0.01807
2005-08-08,-0.022695,-0.007909,-0.002591,0.000753,-0.003763
2005-08-09,0.008109,0.027433,0.018701,0.005267,0.001099
2005-08-10,-0.014625,-0.010041,-0.069352,-0.000748,-0.020201
2005-08-11,0.011874,0.014292,-0.010411,0.001498,-0.005706
2005-08-12,-0.008068,0.047727,-0.014397,-0.005236,0.019965
2005-08-15,0.005915,0.034273,-0.005056,-0.000752,-0.019747
2005-08-16,-0.014375,-0.029992,-0.004517,0.000752,0.00581
2005-08-17,0.007853,0.01946,0.011912,-0.004511,-0.001925
2005-08-18,-0.004824,-0.018028,-0.01009,-0.011329,-0.017924
2005-08-19,-0.003729,-0.010151,0.00906,-0.001528,3.6e-05
