date,GE
1928-04-25,-0.001541
1928-04-26,0.007716
1928-04-27,0.003063
1928-04-28,0.006107
1928-04-30,-0.007587
1928-05-01,0.002294
1928-05-02,0.002288
1928-05-03,0.000761
1928-05-04,0.008365
1928-05-07,0.0181
1928-05-08,0.016296
1928-05-09,-0.014577
1928-05-10,-0.005917
1928-05-11,0.010417
1928-05-14,-0.002946
1928-05-15,-0.014033
1928-05-16,-0.014232
1928-05-17,0.0
1928-05-18,-0.009119
1928-05-21,-0.015337
1928-05-22,-0.034268
1928-05-23,0.020161
1928-05-24,0.024506
1928-05-25,-0.018519
1928-05-28,-0.022013
1928-05-29,0.017685
1928-05-31,0.009479
1928-06-01,0.019562
1928-06-02,-0.002302
1928-06-04,-0.030769
1928-06-05,-0.001587
1928-06-06,-0.011129
1928-06-07,-0.007235
1928-06-08,-0.019433
1928-06-09,-0.00578
1928-06-11,-0.02907
1928-06-12,-0.012832
1928-06-13,0.05286
1928-06-14,0.002469
1928-06-15,-0.024631
1928-06-16,-0.000853
1928-06-18,-0.019641
1928-06-19,0.006098
1928-06-20,0.021645
1928-06-21,-0.012712
1928-06-22,-0.00515
1928-06-23,-0.00604
1928-06-25,0.000868
1928-06-26,0.016479
1928-06-27,0.014505
1928-06-28,0.006728
1928-06-29,0.000835
1928-06-30,0.018364
1928-07-02,-0.02623
1928-07-03,0.023569
1928-07-05,0.021382
1928-07-06,-0.012882
1928-07-07,-0.004078
1928-07-09,0.004095
1928-07-10,-0.011419
1928-07-11,-0.041254
1928-07-12,0.007745
1928-07-13,0.010248
1928-07-14,-0.01268
1928-07-16,-0.019692
1928-07-17,0.0131
1928-07-18,0.027586
1928-07-19,-0.010067
1928-07-20,-0.005932
1928-07-21,-0.004263
1928-07-23,0.008562
1928-07-24,0.001698
1928-07-25,0.01017
1928-07-26,-0.000839
1928-07-27,0.010915
1928-07-28,0.000831
1928-07-30,0.00249
1928-07-31,-0.003311
1928-08-01,0.001661
1928-08-02,-0.008292
1928-08-03,0.002508
1928-08-04,0.005004
1928-08-06,0.00249
1928-08-07,0.005795
1928-08-08,-0.01893
1928-08-09,-0.003356
1928-08-10,0.0
1928-08-11,0.005051
1928-08-13,-0.005025
1928-08-14,-0.009259
1928-08-15,0.031436
1928-08-16,0.008237
1928-08-17,0.014706
